lat,lon,ele,time,segment_distance_km,distance_km_cum,segment_time_s,elev_delta_m,elev_gain_pos_m,elev_gain_pos_cum_m,slope_percent
7.060033120214939,-73.11927482485771,787.4,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.060046279802918,-73.11922788619995,786.88,,0.005386,0.005386,0.0,-0.52,0.0,0.0,-9.65
7.05845832824707,-73.11877727508545,785.34,,0.182533,0.18792,0.0,-1.54,0.0,0.0,-0.84
7.058415412902832,-73.11873435974121,784.81,,0.006709,0.194628,0.0,-0.53,0.0,0.0,-7.9
7.058415412902832,-73.11864852905273,784.45,,0.009483,0.204111,0.0,-0.36,0.0,0.0,-3.8
7.058377023786306,-73.11863805167377,784.28,,0.0044,0.208511,0.0,-0.17,0.0,0.0,-3.86
7.058415412902832,-73.11864852905273,784.72,,0.0044,0.212912,0.0,0.44,0.44,0.44,10.0
7.058479869738221,-73.1186056137085,785.93,,0.008561,0.221473,0.0,1.21,1.21,1.65,14.13
7.0591789204627275,-73.1161480396986,791.27,,0.282308,0.503781,0.0,5.34,5.34,6.99,1.89
7.059187889099121,-73.11611652374268,794.08,,0.00362,0.507401,0.0,2.81,2.81,9.8,77.61
7.0592952612787485,-73.11622381210327,794.1,,0.016778,0.524179,0.0,0.02,0.02,9.82,0.12
7.05920934677124,-73.11630964279175,791.76,,0.013424,0.537603,0.0,-2.34,0.0,9.82,-17.43
7.0589518547058105,-73.11712503433228,789.56,,0.094479,0.632082,0.0,-2.2,0.0,9.82,-2.33
7.058608531951904,-73.11834812164307,786.76,,0.140361,0.772443,0.0,-2.8,0.0,9.82,-1.99
7.058608531951904,-73.11852682381868,785.55,,0.019743,0.792186,0.0,-1.21,0.0,9.82,-6.13
7.058608615770936,-73.11866998672485,785.33,,0.015817,0.808003,0.0,-0.22,0.0,9.82,-1.39
7.058758735656738,-73.11875581741333,786.57,,0.019119,0.827123,0.0,1.24,1.24,11.06,6.49
7.06049689091742,-73.11927080154419,789.78,,0.200468,1.02759,0.0,3.21,3.21,14.27,1.6
7.060647010803223,-73.11931371688843,792.66,,0.017266,1.044856,0.0,2.88,2.88,17.15,16.68
7.061312282457948,-73.11931371688843,792.6,,0.073573,1.118429,0.0,-0.06,0.0,17.15,-0.08
7.061505317687988,-73.11927080154419,792.31,,0.021868,1.140297,0.0,-0.29,0.0,17.15,-1.33
7.0615435391664505,-73.11923258006573,792.17,,0.005975,1.146272,0.0,-0.14,0.0,17.15,-2.34
7.061612689867616,-73.1191635131836,791.8,,0.010803,1.157075,0.0,-0.37,0.0,17.15,-3.42
7.061140537261963,-73.11774730682373,792.68,,0.164946,1.322022,0.0,0.88,0.88,18.03,0.53
7.061033332720399,-73.11710357666016,793.17,,0.072101,1.394123,0.0,0.49,0.49,18.52,0.68
7.061033332720399,-73.11706066131592,793.97,,0.004741,1.398864,0.0,0.8,0.8,19.32,16.87
7.06101187504828,-73.11661005020142,794.88,,0.04984,1.448705,0.0,0.91,0.91,20.23,1.83
7.0611191634088755,-73.11480760574341,798.39,,0.199489,1.648193,0.0,3.51,3.51,23.74,1.76
7.061140537261963,-73.11450719833374,800.09,,0.033273,1.681467,0.0,1.7,1.7,25.44,5.11
7.061119833961129,-73.11453309841454,801.01,,0.003665,1.685132,0.0,0.92,0.92,26.36,25.1
7.061140621080995,-73.11450719833374,801.87,,0.003671,1.688802,0.0,0.86,0.86,27.22,23.43
7.061162078753114,-73.11403512954712,802.07,,0.052208,1.741011,0.0,0.2,0.2,27.42,0.38
7.061162078753114,-73.11399221420288,802.41,,0.004741,1.745752,0.0,0.34,0.34,27.76,7.17
7.061204994097352,-73.11306953430176,803.17,,0.102049,1.847801,0.0,0.76,0.76,28.52,0.74
7.0612693671137094,-73.11191082000732,805.4,,0.128213,1.976014,0.0,2.23,2.23,30.75,1.74
7.061290824785829,-73.11169624328613,807.15,,0.023825,1.999839,0.0,1.75,1.75,32.5,7.35
7.061415547505021,-73.11011491343379,808.42,,0.17525,2.175089,0.0,1.27,1.27,33.77,0.72
7.061419570818543,-73.11006546020508,810.67,,0.005482,2.180571,0.0,2.25,2.25,36.02,41.05
7.061526859179139,-73.10967922210693,812.11,,0.044291,2.224862,0.0,1.44,1.44,37.46,3.25
7.061677062883973,-73.10922861099243,813.52,,0.052482,2.277344,0.0,1.41,1.41,38.87,2.69
7.062428081408143,-73.10721158981323,818.93,,0.237816,2.51516,0.0,5.41,5.41,44.28,2.27
