lat,lon,ele,time,segment_distance_km,distance_km_cum,segment_time_s,elev_delta_m,elev_gain_pos_m,elev_gain_pos_cum_m,slope_percent
7.0507000386714935,-73.09982872568071,913.86,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.050609597936273,-73.09999024495482,913.29,,0.020457,0.020457,0.0,-0.57,0.0,0.0,-2.79
7.05051907338202,-73.10015201568604,912.53,,0.020486,0.040943,0.0,-0.76,0.0,0.0,-3.71
7.050433242693543,-73.10028076171875,911.73,,0.017101,0.058043,0.0,-0.8,0.0,0.0,-4.68
7.050290247425437,-73.10051654465497,910.82,,0.030474,0.088518,0.0,-0.91,0.0,0.0,-2.99
7.050147335976362,-73.10075232759118,909.96,,0.03047,0.118987,0.0,-0.86,0.0,0.0,-2.82
7.050004089251161,-73.10098886489868,909.22,,0.03056,0.149547,0.0,-0.74,0.0,0.0,-2.42
7.0499826315790415,-73.10103178024292,908.57,,0.005302,0.15485,0.0,-0.65,0.0,0.0,-12.26
7.049861093983054,-73.1012246478349,907.96,,0.025194,0.180043,0.0,-0.61,0.0,0.0,-2.42
7.049739556387067,-73.1014175992459,907.4,,0.025201,0.205245,0.0,-0.56,0.0,0.0,-2.22
7.049617767333984,-73.10161113739014,906.83,,0.025271,0.230516,0.0,-0.57,0.0,0.0,-2.26
7.0494678150862455,-73.10179319232702,906.24,,0.026069,0.256585,0.0,-0.59,0.0,0.0,-2.26
7.049317359924316,-73.10197591781616,905.71,,0.026161,0.282746,0.0,-0.53,0.0,0.0,-2.03
7.049210071563721,-73.10223332606256,905.26,,0.030815,0.313561,0.0,-0.45,0.0,0.0,-1.46
7.049102783203125,-73.10249081812799,904.86,,0.030824,0.344385,0.0,-0.4,0.0,0.0,-1.3
7.048995494842529,-73.10274831019342,904.37,,0.030824,0.375209,0.0,-0.49,0.0,0.0,-1.59
7.048888206481934,-73.10300588607788,903.69,,0.030832,0.406041,0.0,-0.68,0.0,0.0,-2.21
