lat,lon,ele,time,segment_distance_km,distance_km_cum,segment_time_s,elev_delta_m,elev_gain_pos_m,elev_gain_pos_cum_m,slope_percent
7.0612693671137094,-73.11191082000732,805.45,,0.023825,3.058324,0.0,-1.86,0.0,47.78,-7.81
7.061204994097352,-73.11306953430176,803.38,,0.128213,3.186537,0.0,-2.07,0.0,47.78,-1.61
7.061161994934082,-73.11399221420288,802.9,,0.102049,3.288587,0.0,-0.48,0.0,47.78,-0.47
7.061161994934082,-73.11403512954712,801.9,,0.004741,3.293328,0.0,-1.0,0.0,47.78,-21.09
7.061140621080995,-73.11450719833374,801.08,,0.052208,3.345536,0.0,-0.82,0.0,47.78,-1.57
7.061119079589844,-73.11480760574341,800.44,,0.033275,3.378811,0.0,-0.64,0.0,47.78,-1.92
7.060956554487348,-73.11474507674575,800.31,,0.019256,3.398066,0.0,-0.13,0.0,47.78,-0.68
7.0611191634088755,-73.11480760574341,797.99,,0.019264,3.417331,0.0,-2.32,0.0,47.78,-12.04
7.06101187504828,-73.11661005020142,794.36,,0.199489,3.616819,0.0,-3.63,0.0,47.78,-1.82
7.061033332720399,-73.11706066131592,793.63,,0.04984,3.66666,0.0,-0.73,0.0,47.78,-1.46
7.061033332720399,-73.11710357666016,793.01,,0.004741,3.671401,0.0,-0.62,0.0,47.78,-13.08
7.061140537261963,-73.11774730682373,792.69,,0.072101,3.743502,0.0,-0.32,0.0,47.78,-0.44
7.061612606048584,-73.1191635131836,791.86,,0.164943,3.908446,0.0,-0.83,0.0,47.78,-0.5
7.061559380963445,-73.1192166544497,791.73,,0.008314,3.91676,0.0,-0.13,0.0,47.78,-1.56
7.061505317687988,-73.11927080154419,792.52,,0.008458,3.925217,0.0,0.79,0.79,48.57,9.34
7.061312282457948,-73.11931371688843,792.42,,0.021868,3.947086,0.0,-0.1,0.0,48.57,-0.46
7.060647010803223,-73.11931371688843,791.85,,0.073573,4.020659,0.0,-0.57,0.0,48.57,-0.77
7.06049689091742,-73.11927080154419,790.7,,0.017266,4.037924,0.0,-1.15,0.0,48.57,-6.66
7.059098873287439,-73.11885656788945,787.85,,0.161239,4.199164,0.0,-2.85,0.0,48.57,-1.77
7.059090910479426,-73.11885422095656,787.85,,0.000918,4.200082,0.0,0.0,0.0,48.57,0.0
7.058758735656738,-73.11875581741333,784.63,,0.038311,4.238392,0.0,-3.22,0.0,48.57,-8.41
7.058608531951904,-73.11866998672485,785.23,,0.019127,4.25752,0.0,0.6,0.6,49.17,3.14
7.058608531951904,-73.11834812164307,786.34,,0.03556,4.29308,0.0,1.11,1.11,50.28,3.12
7.0589518547058105,-73.11712503433228,789.17,,0.140361,4.433441,0.0,2.83,2.83,53.11,2.02
7.05920934677124,-73.11630964279175,791.33,,0.094479,4.52792,0.0,2.16,2.16,55.27,2.29
7.059233570471406,-73.11628533527255,792.42,,0.003793,4.531713,0.0,1.09,1.09,56.36,28.74
7.059295177459717,-73.11622381210327,794.01,,0.009624,4.541337,0.0,1.59,1.59,57.95,16.52
7.0591886434704065,-73.11611727811396,794.1,,0.016654,4.557991,0.0,0.09,0.09,58.04,0.54
7.058500237762928,-73.11853344552219,785.4,,0.277585,4.835576,0.0,-8.7,0.0,58.04,-3.13
7.058479869738221,-73.1186056137085,783.99,,0.008285,4.843861,0.0,-1.41,0.0,58.04,-17.02
7.058415412902832,-73.11864852905273,784.26,,0.008561,4.852423,0.0,0.27,0.27,58.31,3.15
7.058415412902832,-73.11873435974121,784.62,,0.009483,4.861905,0.0,0.36,0.36,58.67,3.8
7.05845832824707,-73.11877727508545,785.14,,0.006709,4.868614,0.0,0.52,0.52,59.19,7.75
7.059374302625656,-73.1190371979028,787.71,,0.10529,4.973904,0.0,2.57,2.57,61.76,2.44
7.059380002319813,-73.11903887428343,787.72,,0.000657,4.974561,0.0,0.01,0.01,61.77,1.52
7.059991043061018,-73.11921212822199,787.8,,0.070234,5.044796,0.0,0.08,0.08,61.85,0.11
